"POKEID","POKELOCATION","POKENAME"
"","",""
"001","Melemele Island: Use the QR Scanner's Island Scan on Melemele Island on a Friday. Bulbasaur can then be encountered in Route 2.","Bulbasaur"
"002","Raise Bulbasaur to level 16.","Ivysaur"
"003","Raise Ivysaur to level 32.","Venusaur"
"004","Melemele Island: Use the QR Scanner's Island Scan on Melemele Island on a Sunday. Charmander can then be encountered in Route 3.","Charmander"
"005","Raise Charmander to level 16","Charmeleon"
"006","Raise Charmeleon to level 36","Charizard"
"007","Melemele Island: Use the QR Scanner's Island Scan on Melemele Island on a Monday. Squirtle can then be encountered in Seaward Cave.","Squirtle"
"008","Raise Squirtle to level 16","Wartortle"
"009","Raise Wartortle to level 36","Blastoise"
"","",""
"010","Melemele Island: Route 1, Route 3 Akala Island: Route 5","Caterpie"
"011","Raise Caterpie to level 7, or Melemele Island: Melemele Meadow Akala Island: Route 5","Metapod"
"012","Raise Metapod to level 10, or Melemele Island: Melemele Meadow (rare) Akala Island: Route 5 (rare). Also, when battling wild Metapod in Lush Jungle, there is a chance that Butterfree will appear if the pokémon calls for help.","Butterfree"
"013","Breed Beedrill","Weedle"
"014","Raise Weedle to level 7","Kakuna"
"015","Akala Island: Use the QR Scanner's Island Scan on Akala Island on a Thursday. Beedrill can then be encountered in Route 4.","Beedrill"
"016","Breed Pidgeot","Pidgey"
"017","Raise Pidgey to level 18","Pidgeotto"
"018","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Thursday. Pidgeot can then be encountered in Route 10.","Pidgeot"
"019","Melemele Island: At night in Route 1, Route 2, Kala'e Bay Akala Island: At night in Route 4, Route 6, Route 8","Rattata"
"020","Akala Island: East of Memorial Hill at night. When battling in Route 8, there is a chance that Raticate will appear if the pokémon calls for help. Ula'ula Island: Night time only: Route 11, Tapu Village, Route 15, southern Route 16, Route 17 Poni Island: Poni Plains at night","Raticate"
"021","Melemele Island: Route 2, Route 3","Spearow"
"022","Raise Spearow to level 20, or Ula'ula Island: Mount Hokulani, Route 10, Route 17 Poni Island: Poni Plains","Fearow"
"023","Melemele Island: Route 2","Ekans"
"","",""
"024","Raise Ekans to level 22. Or, Melemele Island: You can get an Arbok from the Backpacker in the Route 8 pokémon center if you trade her a Trumbeak.","Arbok"
"025","Melemele Island: When battling wild Pichu in Route 1, there is a chance that Pikachu will appear if the pokémon calls for help","Pikachu"
"026","Use a Thunder Stone on Pikachu","Raichu"
"027","Ula'ula Island: Ultra Moon only: Mount Lanakila","Sandshrew"
"028","Use an Ice Stone on an Alolan Sandshrew, or raise a non-Alolan Sandshrew to level 22","Sandslash"
"029","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nidoran♀"
"030","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nidorina"
"031","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nidoqueen"
"032","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nidoran♂"
"033","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nidorino"
"034","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nidoking"
"035","Level up Cleffa with high friendship, or Ula'ula Island: When battling on Mount Hokulani at night, there is a chance that Clefairy will appear if the pokémon calls for help","Clefairy"
"036","Use a Moon Stone on Clefairy","Clefable"
"037","Ula'ula Island: Ultra Sun only: Mount Lanakila","Vulpix"
"038","Use an Ice Stone on Alolan Vulpix or a Fire Stone on a non-Alolan Vulpix","Ninetales"
"039","Level up Igglybuff with high friendship, or Akala Island: When battling pokémon in Route 4 and Route 6 during the day, there is a chance that Jigglypuff will appear if the pokémon calls for help","Jigglypuff"
"040","Use a Moon Stone on Jigglypuff","Wigglytuff"
"041","Melemele Island: Hau'oli Cemetery, Melemele Meadow, Ten Carat Hill, Sandy Cave Akala Island: Memorial Hill","Zubat"
"042","Raise Zubat to level 22, or Akala Island: Lush Jungle. Also, when battling pokémon in Memorial Hill, there is a chance that Golbat will appear if the pokémon calls for help Ula'ula Island: Abandoned Thrifty Megamart in Route 14, Mount Lanakila Poni Island: Vast Poni Canyon, Resolution Cave","Golbat"
"043","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Oddish"
"044","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gloom"
"045","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Vileplume"
"046","Akala Island: Lush Jungle and Brooklet Hill during the day. More common in Brooklet Hill.","Paras"
"047","Raise Paras to level 24, or Ula'ula Island: Route 11 during the day","Parasect"
"048","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Venonat"
"049","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Venomoth"
"050","Melemele Island: Swirling dust in Verdant Cavern Akala Island: Diglett's Tunnel, swirling dust in northern Route 5, swirling Sand in Route 7","Diglett"
"051","Raise Diglett to level 26, or Akala Island: Lush Jungle Ula'ula Island: Haina Desert Poni Island: Vast Poni Canyon, Resolution Cave, Poni Coast","Dugtrio"
"052","Melemele Island: Pokémon Trainers' School, Hau'oli City Shopping District, Route 2 Ula'ula Island: Malie Garden","Meowth"
"053","Level up an Alolan Meowth with high friendship, or raise a non-Alolan Meowth to level 28. Or: Ula'ula Island: When battling Meowth in Malie Garden, there is a chance that Persian will appear if the pokémon calls for help","Persian"
"054","Melemele Island: Sandy Cave, Melemele Meadow, Ten Carat Hill Akala Island: Brooklet Hill Ula'ula Island: Malie Garden","Psyduck"
"055","Raise Psyduck to level 33, or Poni Island: Vast Poni Canyon, Poni Gauntlet","Golduck"
"056","Melemele Island: Eastern Route 3","Mankey"
"057","Raise Mankey to level 28, or Poni Island: Shaking tree in Poni Plains","Primeape"
"058","Melemele Island: Route 2","Growlithe"
"059","Use a Fire Stone on Growlithe","Arcanine"
"060","Akala Island: Brooklet Hill","Poliwag"
"061","Raise Poliwag to level 25, or Ula'ula Island: Malie Garden","Poliwhirl"
"062","Use a Water Stone on Poliwhirl, or Ula'ula Island: When battling Poliwhirl in Malie Garden during the day, there is a chance that Poliwrath will appear if the pokémon calls for help","Poliwrath"
"063","Melemele Island: Hau'oli City Shopping District, Route 2","Abra"
"064","Raise Abra to level 16","Kadabra"
"065","Evolves from Kadabra when traded","Alakazam"
"066","Melemele Island: Ten Carat Hill","Machop"
"067","Raise Machop to level 28, or Poni Island: Vast Poni Canyon","Machoke"
"068","Evolves from Machoke when traded","Machamp"
"069","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bellsprout"
"070","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Weepinbell"
"071","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Victreebel"
"072","Melemele Island: Can be encountered while riding a pokémon in Melemele Sea, Hau'oli City Beachfront, and Kala'e Bay Akala Island: Can be encountered while riding a pokémon in Route 7, Route 8, Brooklet Hill Totem's Den, and Hano Beach. Splashing water spots in Hano Beach are always Tentacool.","Tentacool"
"073","Raise Tentacool to level 30, or Ula'ula Island: Can be encountered while riding a pokémon in Route 14, Route 15 Poni Island: Can be encountered while riding a pokémon in Poni Breaker Coast","Tentacruel"
"074","Breed Graveler","Geodude"
"075","Ula'ula Island: Route 12, Blush Mountain, Route 17 hills","Graveler"
"076","Evolves from Graveler when traded","Golem"
"077","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Ponyta"
"078","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Rapidash"
"079","Melemele Island: Route 1 Hau'oli Outskirts, Kala'e Bay Ula'ula Island: Route 15, Route 16","Slowpoke"
"080","Raise Slowpoke to level 37, or Melemele Island: When battling wild Slowpoke in the grass in Kala'e Bay, there is a chance that Slowbro will appear if the pokémon calls for help","Slowbro"
"081","Melemele Island: Trainer's School, Hau'oli City Shopping District Akala Island: Malie City Outer Cape","Magnemite"
"082","Raise Magnemite to level 30","Magneton"
"083","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Farfetch'd"
"084","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Doduo"
"085","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Dodrio"
"086","Melemele Island: Can be encountered while riding a pokémon in water in Seaward Cave","Seel"
"087","Raise Seel to level 34","Dewgong"
"088","Melemele Island: Pokémon Trainers' School, Hau'oli City Shopping District Ula'ula Island: Malie City Outer Cape","Grimer"
"089","Raise Grimer to level 38","Muk"
"090","Melemele Island: Fishing in Kala'e Bay","Shellder"
"091","Use a Water Stone on Shellder","Cloyster"
"092","Melemele Island: Hau'oli Cemetery Akala Island: Memorial Hill","Gastly"
"093","Raise Gastly to level 25, or Ula'ula Island: Abandoned Thrifty Megamart in Route 14","Haunter"
"094","Evolves from Haunter when traded Ula'ula Island: When battling Haunter in Abandoned Thrifty Megamart in Route 14, there is a chance that Gengar will appear if the pokémon calls for help","Gengar"
